name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexica",2025-06-04,98.5,64.3,79.4,94.9,64.3,78.2,55.7,52.6,0.004,0,4.17,rain,0,0,11.2,7.6,319,1009.7,70.8,15,308.7,26.5,10,10,2025-06-04T06:13:35,2025-06-04T19:34:16,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Tequila, Mexica",2025-06-05,101.4,64.5,81.5,97.5,64.5,80.4,56.2,49,0.028,6.5,4.17,rain,0,0,13,10.7,304.9,1008.3,34.1,15,322.8,27.9,10,10,2025-06-05T06:13:33,2025-06-05T19:34:38,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Tequila, Mexica",2025-06-06,101,65.6,80.9,97.3,65.6,80,58.3,54.6,0.044,3.2,8.33,rain,0,0,14.3,11.9,266.2,1009.1,35.9,14.5,325.2,28,10,30,2025-06-06T06:13:33,2025-06-06T19:35:00,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Tequila, Mexica",2025-06-07,98.1,63.6,79.1,96,63.6,78.3,58.6,56.7,0.012,19.4,4.17,rain,0,0,15.2,8.9,287.1,1010.3,40.9,15,307.8,26.5,10,30,2025-06-07T06:13:34,2025-06-07T19:35:22,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Tequila, Mexica",2025-06-08,101,64.5,80.4,97.2,64.5,79.4,58.6,57.3,0.016,38.7,4.17,rain,0,0,14.3,11,264,1009.5,33.4,15,340.1,29.3,10,10,2025-06-08T06:13:35,2025-06-08T19:35:43,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Tequila, Mexica",2025-06-09,97.8,63.1,78,95,63.1,77.4,58.3,56.2,0.004,38.7,4.17,rain,0,0,14.1,11.6,257.9,1011.3,76.3,15,292,25.2,9,10,2025-06-09T06:13:38,2025-06-09T19:36:04,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Tequila, Mexica",2025-06-10,88.8,65,75.2,87.6,65,75,59.5,60.7,0.102,67.7,4.17,rain,0,0,10.5,8.5,269.3,1012.9,100,15,202.9,17.5,7,10,2025-06-10T06:13:41,2025-06-10T19:36:24,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
"Tequila, Mexica",2025-06-11,93.8,64.1,75.9,91.2,64.1,75.4,60,63.9,0.063,74.2,12.5,rain,0,0,5.6,3.4,262.9,1011.5,84.1,14.3,223.8,19.3,8,10,2025-06-11T06:13:46,2025-06-11T19:36:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
"Tequila, Mexica",2025-06-12,89.9,65.4,76,89.5,65.4,75.8,61.2,64.4,0,74.2,0,rain,0,0,8.1,6.5,261,1009.3,70.5,14.2,237.4,20.6,7,10,2025-06-12T06:13:51,2025-06-12T19:37:02,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Tequila, Mexica",2025-06-13,94,67.9,78.6,92.6,67.9,78.5,62.8,63,0.122,74.2,4.17,rain,0,0,7.2,7.2,287.5,1006.8,69.3,13.8,290.3,24.9,9,30,2025-06-13T06:13:58,2025-06-13T19:37:21,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Tequila, Mexica",2025-06-14,89.9,71,80.6,88.2,71,80.1,59.7,52.3,0.169,74.2,8.33,rain,0,0,16.1,11.6,75.7,1006.4,83.2,13.6,280.8,24.3,8,30,2025-06-14T06:14:05,2025-06-14T19:37:38,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Tequila, Mexica",2025-06-15,90.1,69.7,80.1,88.2,69.7,79.4,56.6,46.4,1.043,58.1,8.33,rain,0,0,19.5,11.9,81.3,1006.5,65.4,15,272.3,23.5,8,10,2025-06-15T06:14:13,2025-06-15T19:37:55,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
"Tequila, Mexica",2025-06-16,87.5,69.5,78.2,85.9,69.5,77.8,56.6,48.7,0.086,61.3,8.33,rain,0,0,17,8.1,73.1,1004.7,48.4,15,194,16.7,6,10,2025-06-16T06:14:22,2025-06-16T19:38:12,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
"Tequila, Mexica",2025-06-17,76.2,69,72.2,76.2,69,72.2,59.5,64.7,0.016,87.1,4.17,rain,0,0,6,3.8,70.4,1006.3,97.5,15,80,6.9,3,10,2025-06-17T06:14:32,2025-06-17T19:38:28,0.73,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
"Tequila, Mexica",2025-06-18,84.3,67.4,72.2,84.1,67.4,72.2,61.5,70.4,0.323,90.3,12.5,rain,0,0,6.7,4.5,224.7,1009,83.1,14,137.1,11.8,7,10,2025-06-18T06:14:43,2025-06-18T19:38:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
