datetime,temp,tempmin,tempmax,dew,humidity,windspeed,winddir,solarenergy
2020-01-01,62.0,54.1,71.5,51.0,70.4,18.6,198.5,9.3
2020-01-02,57.1,47.9,67.2,47.9,74.1,17.7,234.4,15.7
2020-01-03,53.3,35.5,73.3,36.2,60.8,8.1,297.2,17.4
2020-01-04,53.1,39.1,69.5,29.1,45.3,13.4,60.8,15.3
2020-01-05,53.3,32.1,73.3,25.3,40.3,11.9,69.7,19.1
2020-01-06,55.7,37.1,75.1,29.9,44.1,9.2,28.8,18.3
2020-01-07,58.6,44.5,76.9,33.5,45.0,12.3,89.4,12.4
2020-01-08,57.4,40.4,76.4,38.0,52.5,7.8,65.2,17.3
2020-01-09,61.1,44.3,77.6,44.4,57.7,9.2,263.2,17.3
2020-01-10,61.2,46.3,77.1,41.9,55.7,9.4,254.4,16.0
2020-01-11,62.5,46.5,79.8,38.9,47.1,6.9,142.3,19.4
2020-01-12,61.0,42.7,78.7,41.3,53.3,11.4,345.3,14.1
2020-01-13,62.5,44.5,80.1,42.3,52.1,5.8,36.1,17.5
2020-01-14,62.0,42.9,80.7,41.9,52.4,7.2,6.6,17.1
2020-01-15,64.4,51.0,79.8,45.8,53.2,6.9,75.3,14.0
2020-01-16,65.2,51.5,79.6,49.3,59.8,6.3,291.2,15.5
2020-01-17,65.6,53.5,77.0,50.9,63.1,6.3,333.3,14.8
2020-01-18,64.9,50.1,78.9,49.6,61.4,7.2,25.8,13.1
2020-01-19,66.4,57.0,78.9,50.8,60.0,11.2,75.5,14.8
2020-01-20,64.2,52.7,78.7,49.4,61.7,11.4,70.2,15.4
2020-01-21,63.1,48.5,77.4,46.3,58.7,8.1,83.2,16.9
2020-01-22,64.6,53.1,77.1,47.1,59.8,15.0,256.8,19.2
2020-01-23,60.1,52.4,69.5,47.0,64.7,4.9,215.7,10.6
2020-01-24,61.3,44.5,75.6,46.2,62.0,5.6,198.6,17.7
2020-01-25,63.3,55.3,74.9,49.9,65.7,10.7,230.1,13.6
2020-01-26,61.9,53.3,73.3,48.5,65.5,11.4,264.5,14.6
2020-01-27,58.7,44.6,75.6,40.8,60.0,6.9,257.3,19.8
2020-01-28,58.3,43.8,77.4,37.2,53.9,10.3,272.2,19.2
2020-01-29,60.1,42.7,78.7,34.1,45.6,16.1,184.5,19.5
2020-01-30,58.0,49.9,72.1,46.0,67.2,15.4,232.2,11.7
2020-01-31,58.2,46.3,73.5,38.6,57.5,11.4,241.4,9.4
2020-02-01,58.2,49.0,69.2,35.4,44.6,10.3,43.3,7.6
2020-02-02,59.1,47.7,72.8,44.1,59.3,9.2,241.6,5.9
2020-02-03,55.0,50.3,61.6,51.3,87.7,13.2,231.4,5.9
2020-02-04,59.7,48.5,69.7,52.7,79.5,13.4,223.0,14.7
2020-02-05,59.2,50.3,69.9,52.4,80.3,17.9,239.3,13.2
2020-02-06,57.6,39.1,74.0,37.4,56.9,7.6,288.3,20.4
2020-02-07,59.4,39.1,80.5,35.5,48.0,15.0,246.1,19.3
2020-02-08,60.2,40.9,79.6,41.6,58.4,7.2,210.0,22.1
2020-02-09,63.3,46.5,80.9,49.6,66.2,16.1,237.4,20.4
2020-02-10,64.4,48.1,80.0,50.0,66.4,10.1,259.8,19.1
2020-02-11,64.8,50.6,82.1,49.9,65.0,12.1,250.1,19.3
2020-02-12,61.7,49.9,75.3,47.4,63.4,24.2,263.7,13.5
2020-02-13,61.5,44.5,78.3,43.7,56.7,11.0,241.8,19.1
2020-02-14,65.0,48.3,80.9,44.2,49.8,6.9,188.8,21.4
2020-02-15,65.7,50.1,81.8,47.8,56.6,11.4,315.0,17.8
2020-02-16,67.6,51.7,85.4,47.0,52.0,8.1,342.3,21.1
2020-02-17,69.0,51.7,87.9,45.7,49.7,6.3,303.4,21.4
2020-02-18,70.3,53.7,87.9,47.6,51.1,8.1,269.6,22.6
2020-02-19,69.8,53.5,87.9,48.1,53.4,6.0,291.0,22.2
2020-02-20,70.6,52.8,87.9,44.0,44.7,9.2,337.0,23.4
2020-02-21,69.0,56.6,84.6,48.6,51.3,13.4,102.0,20.5
2020-02-22,69.5,56.6,84.5,48.5,50.5,7.2,326.1,19.8
2020-02-23,67.8,55.7,83.4,46.2,51.7,16.1,300.8,21.8
2020-02-24,67.1,50.3,84.5,41.8,46.6,11.4,287.8,23.8
2020-02-25,65.2,51.9,80.7,43.2,51.0,18.3,281.5,18.2
2020-02-26,63.8,46.3,81.8,40.8,48.0,7.8,240.0,22.0
2020-02-27,62.0,47.2,79.8,40.1,48.0,9.6,78.1,23.4
2020-02-28,66.1,49.9,84.1,45.1,52.8,6.9,322.7,23.5
2020-02-29,67.9,51.5,85.6,44.3,46.5,10.3,308.6,24.2
2020-03-01,67.7,51.7,85.7,47.8,53.4,16.1,286.6,22.6
2020-03-02,68.7,48.1,87.3,40.9,47.0,20.8,269.5,24.0
2020-03-03,66.1,51.9,83.2,40.8,44.9,15.9,234.9,23.5
2020-03-04,64.4,49.5,79.4,43.7,53.9,15.0,239.8,21.1
2020-03-05,66.2,50.9,83.6,44.2,49.4,5.4,181.5,17.4
2020-03-06,66.8,51.5,80.9,42.4,43.2,13.9,95.0,18.7
2020-03-07,67.3,53.5,81.1,43.7,44.6,8.7,71.3,18.7
2020-03-08,68.4,55.3,84.6,49.6,55.0,11.4,314.5,18.9
2020-03-09,69.5,57.1,81.2,52.8,58.6,4.9,296.4,16.6
2020-03-10,72.0,56.9,86.6,50.1,49.0,6.0,324.2,18.9
2020-03-11,72.8,56.9,89.5,47.7,44.7,8.1,337.0,23.7
2020-03-12,71.8,56.8,87.5,42.2,38.6,12.8,284.4,19.7
2020-03-13,71.4,57.1,88.6,46.4,46.6,11.4,299.2,23.5
2020-03-14,71.4,57.6,90.4,46.9,46.5,8.1,291.6,22.7
2020-03-15,73.1,60.7,90.1,50.8,50.1,11.0,255.3,21.1
2020-03-16,72.3,58.1,88.8,50.9,52.8,11.4,311.5,21.0
2020-03-17,70.6,53.5,87.7,49.5,52.8,12.8,274.9,22.4
2020-03-18,70.9,55.4,88.8,48.7,51.8,13.9,272.8,25.5
2020-03-19,70.6,51.9,89.0,44.3,45.8,15.7,271.8,25.9
2020-03-20,71.1,53.5,89.7,44.1,47.8,8.1,303.3,24.7
2020-03-21,71.7,57.1,87.9,48.4,48.0,10.3,300.1,23.6
2020-03-22,75.5,59.1,93.5,44.8,37.9,22.4,319.9,24.7
2020-03-23,74.6,57.0,93.8,42.9,38.4,10.3,281.3,24.2
2020-03-24,74.5,55.5,94.9,41.8,38.4,16.1,272.0,24.0
2020-03-25,74.3,55.4,94.0,38.8,33.0,15.0,278.2,24.5
2020-03-26,74.9,55.5,95.8,45.2,41.5,13.9,252.5,26.0
2020-03-27,72.4,58.4,89.5,42.5,42.8,16.1,264.5,25.6
2020-03-28,71.7,53.7,90.8,35.4,31.1,13.9,262.6,25.4
2020-03-29,73.7,55.3,90.4,40.3,33.7,6.9,257.7,27.4
2020-03-30,72.8,58.7,90.8,42.7,37.7,8.5,228.8,24.4
2020-03-31,73.3,51.7,92.7,43.8,39.5,12.8,277.4,25.6
2020-04-01,72.8,57.8,90.4,45.2,41.7,14.8,256.0,23.8
2020-04-02,72.5,53.7,90.4,42.6,41.4,13.0,257.6,26.8
2020-04-03,72.5,55.0,91.1,40.4,34.6,13.2,250.8,25.2
2020-04-04,72.0,57.1,91.5,38.1,34.9,14.1,236.4,27.3
2020-04-05,71.2,54.2,90.8,35.4,32.6,11.2,237.2,23.1
2020-04-06,71.4,51.7,89.5,36.4,33.4,12.8,235.5,25.4
2020-04-07,71.0,46.5,91.8,36.5,35.7,13.6,219.5,25.2
2020-04-08,73.6,53.7,93.1,33.8,27.3,15.0,257.2,26.3
2020-04-09,73.9,53.5,92.6,33.9,28.8,18.3,269.4,28.8
2020-04-10,74.3,53.7,93.3,37.3,32.3,16.1,266.6,27.6
2020-04-11,72.6,53.5,92.0,39.7,36.2,17.2,264.5,23.1
2020-04-12,71.7,56.1,89.5,36.6,31.1,19.7,255.3,26.5
2020-04-13,71.4,49.9,89.9,32.3,28.7,15.0,263.9,25.6
2020-04-14,71.4,49.9,93.3,26.6,23.6,15.0,240.4,26.7
2020-04-15,73.4,50.1,94.6,28.8,22.7,13.9,258.3,26.9
2020-04-16,74.8,51.7,94.2,32.6,24.4,12.1,226.4,28.7
2020-04-17,75.3,56.6,94.0,40.3,30.1,13.0,248.3,25.5
2020-04-18,74.1,57.1,91.1,45.9,39.2,16.1,269.4,22.6
2020-04-19,76.1,57.9,94.0,48.2,42.6,15.0,280.2,27.9
2020-04-20,74.2,56.4,93.8,41.5,37.4,15.0,298.9,25.4
2020-04-21,76.1,57.1,96.3,35.3,27.5,11.4,282.1,25.9
2020-04-22,74.7,57.3,89.7,35.7,28.5,11.6,282.9,22.2
2020-04-23,75.9,59.0,94.6,36.1,26.7,14.5,278.4,24.7
